,s,t,d,s
405,4,225,6.384696743650855,18.0
406,4,226,4.065703880015154,18.0
407,4,227,10.149410787440662,18.0
408,4,228,8.748843346393793,18.0
409,4,232,1.400225470109413,18.0
410,4,234,1.5120812812031492,18.0
411,4,235,15.200206536678989,18.0
412,4,236,4.999184054728355,18.0
413,4,237,6.306272739973263,18.0
414,4,238,6.084719677980266,18.0
415,4,239,5.863257727460375,18.0
416,4,240,20.66244892814068,18.0
417,4,242,17.454293148210777,18.0
418,4,243,13.2252641295142,18.0
419,4,245,15.04111520768872,26.5
420,4,246,3.6575601328000884,18.0
421,4,247,12.290871499196252,18.0
422,4,248,15.363505344392687,18.0
423,4,249,2.412208648327257,18.0
424,4,251,17.270056380357115,26.5
425,4,252,15.613128736343098,19.0
426,4,253,18.645977612792915,26.5
427,4,257,7.965796016758337,18.0
428,4,258,11.002554039647329,26.5
429,4,259,21.242495654093133,18.0
430,4,260,6.643502051540857,18.0
431,4,261,3.1406004143501476,18.0
432,4,262,7.1025470903067225,18.0
433,4,264,3858.132365948568,26.5
434,5,2,30.90207943865385,35.0
435,5,4,26.005007450236857,26.5
436,5,6,12.139368688529538,35.0
437,5,7,32.64164757901312,26.5
438,5,8,33.63223662434594,26.5
439,5,9,41.03981645250636,35.0
440,5,10,37.09022146344047,35.0
441,5,11,17.225525073826503,35.0
442,5,12,22.117801002434,26.5
443,5,13,22.70378722563558,26.5
444,5,14,16.73449075634634,26.5
445,5,16,42.35620813391081,35.0
446,5,17,26.914065778512267,26.5
447,5,18,43.395573231772545,26.5
448,5,19,43.22971952544086,35.0
449,5,20,42.05857981223421,26.5
450,5,21,19.0525428760983,35.0
451,5,22,17.570878346558793,27.5
452,5,24,33.000965120969255,26.5
453,5,25,22.792798893552387,26.5
454,5,26,18.811658615119498,26.5
455,5,29,19.96798794122932,35.0
456,5,30,32.608438717025,35.0
457,5,31,1635.1354507569065,35.0
458,5,32,42.72837857330732,26.5
459,5,33,22.83807270398958,26.5
460,5,34,24.361859672459286,26.5
461,5,35,26.732438707777586,26.5
462,5,36,27.81294895675382,26.5
463,5,37,27.349748246058848,26.5
464,5,38,41.49087891183104,35.0
465,5,39,26.69250095116509,35.0
466,5,40,21.593048067334838,26.5
467,5,42,33.597547287561085,26.5
